Document,Topic,Weight,ACN,State Reference,Primary Problem,Make Model Name,Function 1,Function 2,Function 3,Function 4,Flight Phase 1,Flight Phase 2,Flight Phase 3,Flight Phase 4,Flight Phase 5,Flight Phase 6
735,0,0.6263504,1112193,US,Company Policy,B737-700,First Officer,,,,Cruise,,,,,
736,2,0.8971241,1112230,US,Company Policy,B757 Undifferentiated or Other Model,Pilot Flying, First Officer,,,Cruise, Taxi,,,,
737,3,0.6087351,1112264,FL,Human Factors,B717 (Formerly MD-95),First Officer, Pilot Not Flying,,,Cruise,,,,,
738,1,0.8707167,1112267,NY,Aircraft,B717 (Formerly MD-95),Captain, Pilot Not Flying,,,Landing,,,,,
739,0,0.49640065,1112298,IL,Ambiguous,B737-800,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
740,0,0.9083395,1112349,US,Aircraft,B757 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Climb,,,,,
741,0,0.5467569,1112353,FO,Aircraft,B777 Undifferentiated or Other Model,Pilot Not Flying, Relief Pilot, First Officer,,Cruise,,,,,
742,3,0.65249866,1112358,US,Aircraft,B757 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Climb,,,,,
743,0,0.8210696,1112592,US,Aircraft,B737-800,First Officer,,,,Takeoff / Launch,,,,,
744,0,0.85307974,1112630,CA,Human Factors,B737-300,First Officer,,,,Takeoff / Launch,,,,,
745,1,0.88835293,1112760,FO,Aircraft,B777-200,Captain, Pilot Flying,,,Climb,,,,,
746,1,0.6871139,1113727,FO,Human Factors,B737-800,First Officer, Pilot Not Flying,,,Cruise,,,,,
747,0,0.8537992,1113803,US,Aircraft,B737-400,Pilot Flying, Captain,,,Climb,,,,,
748,2,0.8199908,1113879,US,Aircraft,B777-200,First Officer,,,,Cruise,,,,,
749,3,0.58348304,1113906,US,Aircraft,B757 Undifferentiated or Other Model,Captain,,,,Climb,,,,,
750,0,0.9226403,1114252,US,Aircraft,B737-700,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
751,2,0.8974228,1114270,Unidentified,Ambiguous,B737-300,Captain,,,,Cruise,,,,,
752,3,0.8537412,1114289,US,Aircraft,B737-300,First Officer, Pilot Flying,,,Takeoff / Launch,,,,,
753,2,0.89698815,1114501,US,Human Factors,B737-700,First Officer,,,,Cruise,,,,,
754,1,0.6130438,1114509,CA,Human Factors,B737-700,First Officer, Pilot Not Flying,,,Climb,,,,,
755,1,0.8778018,1114519,CA,Aircraft,B737-700,Pilot Not Flying, First Officer,,,Climb,,,,,
756,3,0.86305094,1114654,US,Human Factors,B737-800,Flight Attendant (On Duty),,,,Landing,,,,,
757,0,0.48741198,1114657,Unidentified,Ambiguous,B767-300 and 300 ER,Flight Attendant (On Duty),,,,Cruise,,,,,
758,2,0.5367324,1114661,Unidentified,Aircraft,B767-300 and 300 ER,Flight Attendant (On Duty),,,,Cruise,,,,,
759,2,0.8772029,1114937,US,Procedure,B757 Undifferentiated or Other Model,Local,,,,Takeoff / Launch,,,,,
760,1,0.7757814,1114981,US,Human Factors,B737-700,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
761,0,0.6328348,1115085,US,Aircraft,B757-200,Pilot Not Flying, First Officer,,,Climb, Takeoff / Launch,,,,
762,0,0.4937147,1115153,US,Environment - Non Weather Related,B737 Undifferentiated or Other Model,Ground,,,,Initial Climb,,,,,
763,1,0.5026704,1115157,US,Human Factors,B737 Undifferentiated or Other Model,Departure,,,,Climb,,,,,
764,0,0.87142265,1115379,FO,Environment - Non Weather Related,B777-200,Captain, Pilot Flying,,,Final Approach,,,,,
765,0,0.8861789,1116787,US,Aircraft,B737-300,Captain,,,,Cruise,,,,,
766,0,0.9112349,1116792,US,Manuals,B737-300,First Officer,,,,Takeoff / Launch,,,,,
767,0,0.6284028,1116807,US,Aircraft,B737-700,Pilot Flying, First Officer,,,Cruise,,,,,
768,0,0.87226665,1116955,US,Weather,B737-800,Captain, Pilot Flying,,,Cruise,,,,,
769,0,0.7341592,1116975,US,Human Factors,B757-200,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
770,2,0.88001525,1117041,FL,Human Factors,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Cruise,,,,,
771,0,0.49278387,1117071,US,Aircraft,B737-800,Captain, Pilot Flying,,,Cruise,,,,,
772,1,0.9182549,1117149,FO,Aircraft,B747 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Initial Climb,,,,,
773,3,0.8593992,1117167,US,Aircraft,B787 Dreamliner Undifferentiated or Other Model,Captain, Pilot Flying,,,Cruise,,,,,
774,2,0.6110216,1117446,NV,Ambiguous,B737-900,Pilot Not Flying, Captain,,,Takeoff / Launch,,,,,
775,1,0.8702188,1117468,IL,Procedure,B737-800,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
776,2,0.8103601,1117504,US,Aircraft,B737-300,Flight Attendant In Charge,,,,Cruise,,,,,
777,0,0.92170006,1117613,US,Aircraft,B737-700,Captain,,,,Climb,,,,,
778,2,0.8249624,1117855,US,Human Factors,B777-200,Ground,,,,Taxi,,,,,
779,1,0.9089828,1117908,NV,Ambiguous,B737-700,First Officer, Pilot Not Flying,,,Climb,,,,,
780,0,0.90309024,1118034,US,Ambiguous,B757-200,Pilot Flying, Captain,,,Climb,,,,,
781,0,0.8900078,1118633,FL,Human Factors,B777-200,Pilot Flying, Captain,,,Climb,,,,,
782,3,0.88092035,1119097,US,Aircraft,B757-200,First Officer, Relief Pilot,,,Climb,,,,,
783,1,0.7248305,1119099,FO,Aircraft,B757-200,First Officer,,,,Final Approach, Initial Approach,,,,
784,1,0.9024551,1119556,CA,Procedure,B737-800,Captain, Pilot Flying,,,Landing,,,,,
785,1,0.8719898,1119699,CA,Environment - Non Weather Related,B737-800,First Officer,,,,Climb,,,,,
786,1,0.5626139,1119793,US,Human Factors,Boeing Company Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Final Approach,,,,,
787,1,0.41115093,1119825,FO,Incorrect / Not Installed / Unavailable Part,B777-200,Flight Attendant (On Duty),,,,Takeoff / Launch,,,,,
788,2,0.7200714,1120194,NY,Human Factors,B737-800,Pilot Not Flying, Captain,,,Climb,,,,,
789,1,0.91170496,1120243,NJ,Human Factors,B757 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
790,2,0.8636387,1120542,FL,Human Factors,B737-700,First Officer,,,,Climb,,,,,
791,1,0.9014592,1120607,US,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
792,0,0.9163311,1120722,UT,Ambiguous,B757-200,Check Pilot, Pilot Not Flying, Captain,,Cruise,,,,,
793,0,0.88547343,1120735,US,Aircraft,B717 (Formerly MD-95),Captain, Pilot Flying,,,Climb,,,,,
794,1,0.9022912,1120826,NY,Weather,B737 Undifferentiated or Other Model,Pilot Flying, Captain,,,Landing,,,,,
795,0,0.8737904,1121052,US,Aircraft,B757 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Climb,,,,,
796,1,0.923854,1121208,FO,Ambiguous,B767 Undifferentiated or Other Model,Relief Pilot, First Officer, Pilot Not Flying,,Cruise,,,,,
797,0,0.892989,1121251,US,Aircraft,B737-700,First Officer, Pilot Not Flying,,,Climb,,,,,
798,3,0.87975013,1121386,US,Aircraft,B737-800,Captain, Pilot Flying,,,Climb,,,,,
799,1,0.4547214,1121562,US,Aircraft,B737-300,First Officer, Pilot Flying,,,Climb,,,,,
800,0,0.48374665,1121783,US,Aircraft,B777 Undifferentiated or Other Model,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
801,2,0.59696084,1121892,US,Aircraft,B737-700,First Officer, Pilot Not Flying,,,Cruise,,,,,
802,0,0.6388955,1122321,TX,Human Factors,B737-700,Ground,,,,Taxi,,,,,
803,1,0.9206474,1122376,CO,Human Factors,B737 Undifferentiated or Other Model,Pilot Not Flying, First Officer,,,Final Approach,,,,,
804,0,0.49852505,1122380,FO,Human Factors,B767 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Taxi, Takeoff / Launch,,,,
805,2,0.6619994,1122686,HI,Ambiguous,B757 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
806,1,0.46897385,1122786,CA,Human Factors,B737-700,Captain,,,,Climb,,,,,
807,0,0.8817525,1123640,NY,Human Factors,B737-800,Enroute,,,,Climb,,,,,
808,0,0.57492757,1123963,US,Ambiguous,B757 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Cruise,,,,,
809,2,0.6331037,1124136,CA,Human Factors,B757-200,Departure, Approach,,,Climb,,,,,
810,1,0.51382595,1124152,TX,Human Factors,B737-300,Captain,,,,Descent,,,,,
811,1,0.64701194,1124183,US,Human Factors,B757 Undifferentiated or Other Model,Instructor, First Officer,,,Final Approach, Landing,,,,
812,0,0.91734326,1124191,FO,Aircraft,B747 Undifferentiated or Other Model,Pilot Not Flying, Relief Pilot, Captain,,Takeoff / Launch,,,,,
813,0,0.9156938,1124274,US,Aircraft,B757-200,Pilot Flying, Captain,,,Cruise,,,,,
814,2,0.6225519,1124308,US,Aircraft,B767-300 and 300 ER,Flight Attendant (On Duty),,,,Cruise,,,,,
815,1,0.60879874,1124460,OH,Chart Or Publication,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Cruise,,,,,
816,0,0.891403,1124831,US,Aircraft,B777 Undifferentiated or Other Model,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
817,1,0.89604664,1124968,US,Human Factors,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
818,2,0.8784187,1124997,US,Aircraft,B767 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Cruise,,,,,
819,2,0.90961057,1125308,US,Ambiguous,B737-700,Captain,,,,Climb, Cruise, Taxi,,,
820,0,0.67072564,1125516,Unidentified,Human Factors,B737-700,Captain,,,,Cruise,,,,,
821,0,0.6142097,1125540,CA,Aircraft,B757 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Climb,,,,,
822,0,0.49761328,1125658,US,Human Factors,B767-300 and 300 ER,Technician,,,,Cruise,,,,,
823,1,0.86429584,1125691,NY,Human Factors,B767 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Final Approach,,,,,
824,1,0.9288617,1125752,CA,Human Factors,B737 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Final Approach,,,,,
825,2,0.89566565,1125956,Unidentified,Human Factors,B777 Undifferentiated or Other Model,Flight Attendant (On Duty),,,,Cruise,,,,,
826,3,0.89007473,1126006,US,Ambiguous,B737-700,Pilot Flying, First Officer,,,Cruise,,,,,
827,2,0.9244366,1126175,Unidentified,Aircraft,B757-200,Flight Attendant (On Duty),,,,Cruise,,,,,
828,0,0.85510105,1126628,Unidentified,Aircraft,B767-200,Flight Attendant (On Duty),,,,Cruise,,,,,
829,0,0.6006726,1126844,US,Aircraft,B737 Next Generation Undifferentiated,First Officer, Pilot Flying,,,Climb,,,,,
830,0,0.8928364,1126965,US,Aircraft,B767-300 and 300 ER,Captain,,,,Climb,,,,,
831,3,0.880696,1126991,FO,Aircraft,B767-300 and 300 ER,Captain,,,,Climb,,,,,
832,3,0.91343576,1127097,US,Aircraft,B737-700,Pilot Not Flying, First Officer,,,Climb,,,,,
833,3,0.65881956,1127104,US,Ambiguous,B737-700,Captain,,,,Climb,,,,,
834,3,0.88619727,1127573,US,Aircraft,B737-700,Captain,,,,Cruise,,,,,
835,0,0.8971527,1127859,IN,Human Factors,B737-800,Enroute,,,,Descent,,,,,
836,0,0.92424005,1128602,US,Aircraft,B737-700,Pilot Not Flying, Captain,,,Climb,,,,,
837,3,0.41981244,1128858,US,Aircraft,B737 Undifferentiated or Other Model,Pilot Flying, Captain,,,Climb,,,,,
838,0,0.582642,1129069,US,Aircraft,B777 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Cruise,,,,,
839,3,0.529006,1129359,US,Aircraft,B777 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Cruise,,,,,
840,3,0.53770614,1130593,US,Human Factors,B757-200,Pilot Flying,,,,Cruise,,,,,
841,2,0.51557547,1130693,US,ATC Equipment / Nav Facility / Buildings,B737-800,Approach, Departure,,,Descent,,,,,
842,0,0.88021564,1131617,US,Aircraft,B717 (Formerly MD-95),Pilot Flying, Captain,,,Takeoff / Launch,,,,,
843,3,0.9003131,1131666,FO,Aircraft,B767-300 and 300 ER,First Officer,,,,Cruise,,,,,
844,1,0.82469314,1131871,NV,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Final Approach,,,,,
845,3,0.8971877,1132107,FO,Aircraft,B767-300 and 300 ER,Pilot Not Flying, Captain,,,Cruise,,,,,
846,0,0.93424207,1132577,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Flying, First Officer,,,Cruise,,,,,
847,1,0.89353853,1132591,NJ,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
848,1,0.90948296,1133136,CA,Ambiguous,B737-800,First Officer, Pilot Flying,,,Final Approach, Landing,,,,
849,1,0.84731096,1133272,MA,Chart Or Publication,B737 Undifferentiated or Other Model,Pilot Flying, First Officer,,,Landing,,,,,
850,0,0.9184873,1133527,US,Aircraft,B757 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Cruise,,,,,
851,0,0.9016504,1133931,US,Aircraft,B737-800,First Officer, Pilot Flying,,,Cruise,,,,,
852,1,0.6017166,1133953,US,Aircraft,B757 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Final Approach,,,,,
853,2,0.5640554,1134062,US,Aircraft,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
854,0,0.90624046,1134609,US,Ambiguous,B737-700,First Officer, Pilot Not Flying,,,Climb,,,,,
855,2,0.85847527,1134623,CA,Human Factors,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
856,1,0.8656675,1135166,US,Aircraft,B737-800,Captain, Pilot Flying,,,Climb,,,,,
857,3,0.88979566,1135675,US,Ambiguous,B737-800,First Officer, Pilot Not Flying,,,Cruise,,,,,
858,0,0.89558005,1136086,US,Aircraft,B737-700,First Officer,,,,Climb,,,,,
859,0,0.70782083,1137080,CA,Ambiguous,B737-800,First Officer, Pilot Flying,,,Cruise,,,,,
860,3,0.7801643,1137448,US,Aircraft,B737-700,Pilot Not Flying, First Officer,,,Climb,,,,,
861,0,0.53371143,1137650,US,Environment - Non Weather Related,B737-300,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
862,0,0.49201086,1137664,US,Aircraft,B737-700,Captain,,,,Cruise,,,,,
863,0,0.71953905,1140055,US,Aircraft,B737-700,First Officer,,,,Climb,,,,,
864,0,0.85674644,1140346,US,Chart Or Publication,B737-700,Captain,,,,Cruise,,,,,
865,0,0.86140144,1141204,FO,Ambiguous,B777 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Cruise,,,,,
866,1,0.55284244,1141292,Unidentified,Ambiguous,B777-200,First Officer, Relief Pilot,,,Cruise,,,,,
867,1,0.9194736,1141638,US,Aircraft,B737-300,Pilot Not Flying, Captain,,,Cruise,,,,,
868,1,0.59957325,1141672,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Flying, Captain,,,Final Approach,,,,,
869,2,0.9133286,1142036,US,Aircraft,B737-300,Pilot Flying, Captain,,,Climb,,,,,
870,0,0.7018825,1142101,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Climb,,,,,
871,1,0.8952562,1142125,CO,Human Factors,B737 Next Generation Undifferentiated,Pilot Not Flying, Captain,,,Final Approach,,,,,
872,3,0.5368054,1142210,US,Aircraft,B737-400,First Officer, Pilot Not Flying,,,Climb,,,,,
873,1,0.4888295,1142463,OH,Ambiguous,B737-800,First Officer, Pilot Not Flying,,,Landing,,,,,
874,3,0.87429905,1142522,US,Human Factors,B757-200,Technician,,,,Landing,,,,,
875,0,0.9093147,1143054,US,Aircraft,B757 Undifferentiated or Other Model,First Officer, Pilot Flying,,,Cruise,,,,,
876,1,0.9047943,1143167,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Not Flying, First Officer,,,Landing,,,,,
877,1,0.5182895,1143311,BC,Environment - Non Weather Related,B737 Undifferentiated or Other Model,Pilot Not Flying, First Officer,,,Initial Approach,,,,,
878,2,0.57188046,1143353,FO,Aircraft,B777-200,Captain, Pilot Flying,,,Cruise,,,,,
879,0,0.56987387,1143655,US,Aircraft,B737-700,Captain,,,,Climb,,,,,
880,2,0.8739481,1143854,Unidentified,Equipment / Tooling,B737-700,Flight Attendant (On Duty),,,,Cruise,,,,,
881,2,0.87497383,1144035,FL,ATC Equipment / Nav Facility / Buildings,B737-300,Enroute,,,,Climb,,,,,
882,3,0.6746177,1145445,US,Aircraft,B737-300,First Officer, Pilot Flying,,,Climb,,,,,
883,0,0.8505561,1145963,US,Aircraft,B737-800,Captain, Pilot Not Flying,,,Climb,,,,,
884,0,0.8665293,1146096,US,Aircraft,B737-700,Captain,,,,Cruise,,,,,
885,0,0.87047434,1147339,FO,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Landing,,,,,
886,0,0.8880691,1148027,US,Aircraft,B737-700,First Officer,,,,Cruise,,,,,
887,2,0.4753351,1148539,US,Aircraft,B737 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
888,0,0.5913561,1148623,NF,Weather,B767-300 and 300 ER,First Officer, Pilot Not Flying, Relief Pilot,,Cruise,,,,,
889,0,0.87956417,1148831,US,Aircraft,B737-700,Captain,,,,Cruise,,,,,
890,0,0.9158243,1148907,US,Aircraft,B777 Undifferentiated or Other Model,First Officer, Pilot Not Flying, Relief Pilot,,Climb,,,,,
891,2,0.641865,1149222,US,Procedure,B737 Next Generation Undifferentiated,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
892,1,0.52106386,1149224,UT,Procedure,B737 Next Generation Undifferentiated,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
893,0,0.8367996,1150148,US,Human Factors,B757-200,Pilot Flying, Captain,,,Climb,,,,,
894,0,0.6994684,1150236,US,Aircraft,B737 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Climb,,,,,
895,0,0.86586,1150244,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Flying, First Officer,,,Climb,,,,,
896,1,0.88345945,1150387,US,Aircraft,B737-700,Pilot Flying, Captain,,,Landing,,,,,
897,0,0.8644067,1150967,US,Aircraft,B757-300,Pilot Flying, Captain,,,Landing,,,,,
898,0,0.83067137,1151075,CA,Procedure,B737-300,Approach, Departure,,,Climb,,,,,
899,2,0.64175737,1151186,US,Aircraft,B777-200,Relief Pilot, Pilot Flying, First Officer,,Cruise,,,,,
900,0,0.8544078,1151190,US,Aircraft,B737-800,Captain, Pilot Not Flying,,,Cruise,,,,,
901,0,0.9093498,1151322,CA,Human Factors,B737-300,Pilot Not Flying, Captain,,,Climb,,,,,
902,0,0.9202909,1152048,US,Aircraft,B737-800,Captain, Pilot Flying,,,Cruise,,,,,
903,0,0.60467833,1152090,US,Aircraft,B737-400,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
904,1,0.85257894,1152122,FO,Human Factors,B757-200,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
905,0,0.88152206,1152849,US,Human Factors,B737-800,First Officer, Pilot Flying,,,Climb,,,,,
906,1,0.90745753,1152900,US,Human Factors,B737-300,Pilot Flying, First Officer,,,Takeoff / Launch,,,,,
907,3,0.58828706,1153328,US,Aircraft,B757-200,Pilot Not Flying, Relief Pilot, First Officer,,Climb,,,,,
908,3,0.8697634,1153779,US,Aircraft,B737-800,First Officer, Pilot Flying,,,Cruise,,,,,
909,1,0.9091033,1154142,US,Human Factors,B737-700,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
910,0,0.91092837,1154611,US,Ambiguous,B737-800,Captain, Check Pilot, Pilot Not Flying,,Cruise,,,,,
911,0,0.85531145,1155247,GU,Ambiguous,B757-200,Departure,,,,Climb,,,,,
912,0,0.9192445,1155986,US,Aircraft,B717 (Formerly MD-95),Captain, Pilot Flying,,,Cruise,,,,,
913,1,0.46582496,1156295,FO,Ambiguous,B757-200,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
914,0,0.8751116,1156653,NF,Ambiguous,B777-200,First Officer, Pilot Flying,,,Cruise,,,,,
915,3,0.84920543,1156750,Unidentified,Aircraft,B737 Next Generation Undifferentiated,First Officer,,,,Cruise,,,,,
916,1,0.8989897,1157073,NJ,Procedure,B737-900,Local,,,,Initial Climb,,,,,
917,3,0.5965894,1158066,US,Aircraft,B767 Undifferentiated or Other Model,Pilot Flying, Captain,,,Final Approach,,,,,
918,0,0.9052616,1158293,US,Aircraft,B737-700,Pilot Flying, Captain,,,Takeoff / Launch,,,,,
919,3,0.5929719,1158565,US,Aircraft,B737-700,Captain,,,,Cruise,,,,,
920,2,0.5371277,1159362,WA,Aircraft,B737-300,Pilot Not Flying, Captain,,,Climb,,,,,
921,0,0.6020909,1159370,US,Aircraft,B737-300,Captain, Pilot Not Flying,,,Cruise,,,,,
922,0,0.8112539,1159442,US,Aircraft,B737 Undifferentiated or Other Model,Captain,,,,Climb,,,,,
923,2,0.76407796,1159639,CO,Procedure,B737-800,Enroute, Trainee,,,Descent,,,,,
924,0,0.5256689,1159997,US,Aircraft,B757-200,Pilot Flying,,,,Climb,,,,,
925,0,0.50605935,1160013,FO,Procedure,B777-200,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
926,0,0.85680586,1160130,NM,Human Factors,B737-700,First Officer,,,,Climb,,,,,
927,0,0.9279788,1160141,US,Aircraft,B737-300,Pilot Not Flying, First Officer,,,Cruise,,,,,
928,1,0.89997894,1161016,CA,Ambiguous,B737-300,Pilot Not Flying, First Officer,,,Climb,,,,,
929,1,0.8936128,1162274,FO,Ambiguous,B757 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
930,0,0.46710432,1162402,CA,Environment - Non Weather Related,B757 Undifferentiated or Other Model,Captain, Pilot Not Flying,,,Cruise,,,,,
931,0,0.65554386,1162657,US,Unidentified,B737-300,First Officer,,,,Cruise,,,,,
932,1,0.8753094,1162662,US,Ambiguous,B737-700,Captain, Pilot Not Flying,,,Climb,,,,,
933,0,0.5632033,1163078,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Final Approach, Initial Approach,,,,
934,0,0.91177356,1163382,US,Environment - Non Weather Related,B767-300 and 300 ER,First Officer, Pilot Flying,,,Takeoff / Launch,,,,,
935,0,0.91370565,1164156,US,Aircraft,B777-200,Captain, Pilot Flying,,,Cruise,,,,,
936,0,0.84904903,1164157,FO,Aircraft,B767-300 and 300 ER,Pilot Flying, Captain,,,Cruise,,,,,
937,1,0.89919674,1164720,NJ,Procedure,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Landing,,,,,
938,1,0.77791554,1164988,NJ,Procedure,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Landing,,,,,
939,0,0.9193548,1165499,US,Human Factors,B757 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Climb,,,,,
940,1,0.9046324,1165657,UT,Weather,B777 Undifferentiated or Other Model,First Officer, Pilot Not Flying,,,Climb,,,,,
941,0,0.8486635,1166146,FO,Aircraft,B777 Undifferentiated or Other Model,Pilot Not Flying, First Officer,,,Cruise,,,,,
942,1,0.82966113,1166218,NY,Ambiguous,B737-800,Pilot Not Flying,,,,Takeoff / Launch,,,,,
943,0,0.85884994,1166340,CA,Airspace Structure,B737-700,Captain, Pilot Flying,,,Descent,,,,,
944,0,0.47794494,1166380,CA,Ambiguous,B737-300,Captain, Pilot Not Flying,,,Climb,,,,,
945,1,0.88828427,1166539,FO,Ambiguous,B777 Undifferentiated or Other Model,Pilot Flying, Captain,,,Final Approach,,,,,
946,2,0.73390484,1167465,CA,Ambiguous,B757-200,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
947,2,0.9126272,1167515,US,Company Policy,B737-800,Flight Attendant (On Duty),,,,Parked, Takeoff / Launch,,,,
948,1,0.8665453,1167704,US,Aircraft,B757-200,Captain, Pilot Not Flying,,,Landing,,,,,
949,1,0.5560693,1167864,US,Human Factors,B737-700,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
950,1,0.89160234,1167899,US,Human Factors,B737-700,Pilot Not Flying, Captain,,,Takeoff / Launch,,,,,
951,0,0.74732107,1168135,US,Ambiguous,B737-300,Captain, Pilot Not Flying,,,Takeoff / Launch,,,,,
952,0,0.90901625,1168953,US,Aircraft,B737-700,Captain,,,,Takeoff / Launch,,,,,
953,0,0.8797032,1168976,US,Aircraft,B737-300,Captain, Pilot Flying,,,Climb,,,,,
954,0,0.9214932,1169328,NY,Human Factors,B767 Undifferentiated or Other Model,Pilot Flying, First Officer,,,Cruise,,,,,
955,0,0.6565827,1169538,US,Aircraft,B737-400,Captain, Pilot Not Flying,,,Climb,,,,,
956,3,0.87189484,1169745,Unidentified,Aircraft,B757-200,Captain, Pilot Flying,,,Climb,,,,,
957,2,0.87329435,1169900,FO,Ambiguous,B737-900,Flight Attendant In Charge, Flight Attendant (On Duty),,,Cruise,,,,,
958,3,0.91290313,1170080,US,Aircraft,B757 Undifferentiated or Other Model,Pilot Flying, Captain,,,Cruise,,,,,
959,1,0.87522733,1170386,US,Aircraft,B737-300,Captain, Pilot Not Flying,,,Climb,,,,,
960,0,0.6036666,1170894,Unidentified,Aircraft,B757 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Cruise,,,,,
961,1,0.7400801,1170901,CA,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
962,0,0.8847981,1170978,FO,Human Factors,B737-800,Captain, Pilot Flying,,,Takeoff / Launch,,,,,
963,3,0.88210607,1171627,FO,Aircraft,B767-300 and 300 ER,Captain, Pilot Flying,,,Cruise,,,,,
964,1,0.90779895,1171631,FO,Human Factors,B757-200,Pilot Flying, First Officer,,,Landing,,,,,
965,1,0.6708562,1171809,WA,Aircraft,B737-300,First Officer,,,,Climb,,,,,
966,1,0.51671386,1172513,FL,Weather,B737-800,Captain, Pilot Flying,,,Final Approach,,,,,
967,0,0.8954668,1172518,Unidentified,Aircraft,B737-800,First Officer, Pilot Flying,,,Cruise,,,,,
968,1,0.71859086,1172567,FO,Aircraft,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Final Approach,,,,,
969,1,0.8557643,1172716,CA,Ambiguous,B737 Undifferentiated or Other Model,Captain, Pilot Flying,,,Landing,,,,,
970,0,0.85652316,1173057,US,Weather,B737-300,First Officer,,,,Cruise,,,,,
971,1,0.8812835,1173110,CO,Ambiguous,B737-800,Pilot Flying, Captain,,,Final Approach,,,,,
972,1,0.8313013,1173337,NJ,Human Factors,B757 Undifferentiated or Other Model,Pilot Not Flying, Captain,,,Final Approach,,,,,
973,0,0.882413,1173626,US,Ambiguous,B737-700,First Officer,,,,Climb,,,,,
974,0,0.889137,1173629,CA,Weather,B737-300,Captain,,,,Cruise,,,,,
975,0,0.87015295,1174440,HI,Procedure,B757-200,Captain, Pilot Not Flying,,,Climb,,,,,
976,1,0.8616976,1174540,NV,Human Factors,B737-700,First Officer, Pilot Not Flying,,,Takeoff / Launch,,,,,
977,0,0.87328553,1174661,US,Aircraft,B757-200,First Officer, Pilot Flying,,,Climb,,,,,
978,0,0.60369724,1174985,AK,Procedure,B737 Undifferentiated or Other Model,Departure,,,,Final Approach,,,,,
979,3,0.8960898,1175007,US,Ambiguous,B737-700,Pilot Flying, First Officer,,,Cruise,,,,,
